,Index Numbers ;  All groups CPI ;  Sydney ;,Index Numbers ;  All groups CPI ;  Melbourne ;,Index Numbers ;  All groups CPI ;  Brisbane ;,Index Numbers ;  All groups CPI ;  Adelaide ;,Index Numbers ;  All groups CPI ;  Perth ;,Index Numbers ;  All groups CPI ;  Hobart ;,Index Numbers ;  All groups CPI ;  Darwin ;,Index Numbers ;  All groups CPI ;  Canberra ;,Index Numbers ;  All groups CPI ;  Australia ;,Percentage Change from Previous Period ;  All groups CPI ;  Sydney ;,Percentage Change from Previous Period ;  All groups CPI ;  Melbourne ;,Percentage Change from Previous Period ;  All groups CPI ;  Brisbane ;,Percentage Change from Previous Period ;  All groups CPI ;  Adelaide ;,Percentage Change from Previous Period ;  All groups CPI ;  Perth ;,Percentage Change from Previous Period ;  All groups CPI ;  Hobart ;,Percentage Change from Previous Period ;  All groups CPI ;  Darwin ;,Percentage Change from Previous Period ;  All groups CPI ;  Canberra ;,Percentage Change from Previous Period ;  All groups CPI ;  Australia ;
Unit,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
Frequency,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter
Collection Month,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Series Start,Sep-1948,Sep-1948,Sep-1948,Sep-1948,Sep-1948,Sep-1948,Sep-1980,Sep-1948,Sep-1948,Dec-1948,Dec-1948,Dec-1948,Dec-1948,Dec-1948,Dec-1948,Dec-1980,Dec-1948,Dec-1948
Series End,Jun-2026,Jun-2026,Jun-2026,Jun-2026,Jun-2026,Jun-2026,Jun-2026,Jun-2026,Jun-2026,Jun-2026,Jun-2026,Jun-2026,Jun-2026,Jun-2026,Jun-2026,Jun-2026,Jun-2026,Jun-2026
No. Obs,312,312,312,312,312,312,184,312,312,311,311,311,311,311,311,183,311,311
Series ID,A2325806K,A2325811C,A2325816R,A2325821J,A2325826V,A2325831L,A2325836X,A2325841T,A2325846C,A2325810A,A2325815L,A2325820F,A2325825T,A2325830K,A2325835W,A2325840R,A2325845A,A2325850V
Sep-1948,2.56,2.64,2.51,2.64,2.60,2.66,,2.79,2.59,,,,,,,,,
Dec-1948,2.60,2.68,2.54,2.68,2.64,2.70,,2.87,2.63,1.6,1.5,1.2,1.5,1.5,1.5,,2.9,1.5
