date,label
1994-05-10,1994 budget
1995-05-09,1995 budget
1996-05-14,1996 budget
1997-05-13,1997 budget
1998-05-12,1998 budget
1999-05-11,1999 budget
2000-05-09,2000 budget
2001-05-08,2001 budget
2002-05-14,2002 budget
2003-05-13,2003 budget
2004-05-11,2004 budget
2005-05-10,2005 budget
2006-05-09,2006 budget
2007-05-08,2007 budget
2008-05-13,2008 budget
2009-05-12,2009 budget
2010-05-11,2010 budget
2011-05-10,2011 budget
2012-05-08,2012 budget
2013-05-14,2013 budget
2014-05-13,2014 budget
2015-05-12,2015 budget
2016-05-03,2016 budget
2017-05-09,2017 budget
2018-05-08,2018 budget
2019-04-02,2019 budget
2020-10-06,2020 budget (delayed by COVID)
2021-05-11,2021 budget
2022-03-29,2022 budget
2022-10-25,2022 budget (post-election)
2023-05-09,2023 budget
2024-05-14,2024 budget
2025-03-25,2025 budget
2026-05-12,2026 budget
