date,label
1972-12-02,1972 election
1974-05-18,1974 election (double dissolution)
1975-12-13,1975 election (double dissolution)
1977-12-10,1977 election
1980-10-18,1980 election
1983-03-05,1983 election (double dissolution)
1984-12-01,1984 election
1987-07-11,1987 election (double dissolution)
1990-03-24,1990 election
1993-03-13,1993 election
1996-03-02,1996 election
1998-10-03,1998 election
2001-11-10,2001 election
2004-10-09,2004 election
2007-11-24,2007 election
2010-08-21,2010 election
2013-09-07,2013 election
2016-07-02,2016 election (double dissolution)
2019-05-18,2019 election
2022-05-21,2022 election
2025-05-03,2025 election
