date,value
2013-03-31,110.54
2013-04-30,104.92
2013-05-31,97.59
2013-06-30,102.2
2013-07-31,102.1
2013-08-31,105.7
2013-09-30,110.6
2013-10-31,108.3
2013-11-30,110.3
2013-12-31,105
2014-01-31,103.3
2014-02-28,100.2
2014-03-31,99.5
2014-04-30,99.7
2014-05-31,92.9
2014-06-30,93.2
2014-07-31,94.9
2014-08-31,98.5
2014-09-30,94
2014-10-31,94.8
2014-11-30,96.6
2014-12-31,91.1
2015-01-31,93.2
2015-02-28,100.7
2015-03-31,99.5
2015-04-30,96.2
2015-05-31,102.4
2015-06-30,95.3
2015-07-31,92.3
2015-08-31,99.5
2015-09-30,93.9
2015-10-31,97.8
2015-11-30,101.7
2015-12-31,100.8
2016-01-31,97.3
2016-03-31,99.1
2016-04-30,95.1
2016-05-31,103.2
2016-06-30,102.17
2016-07-31,99.1
2016-08-31,101
2016-09-30,101.4
2016-10-31,102.4
2016-11-30,101.3
2016-12-31,97.3
2017-01-31,97.4
2017-02-28,99.6
2017-03-31,99.7
2017-04-30,99
2017-05-31,98
2017-06-30,96
2017-07-31,96.6
2017-08-31,95.5
2017-09-30,97.9
2017-10-31,101.35
2017-11-30,99.7
2017-12-31,103.3
2018-01-31,105.1
2018-02-28,102.7
2018-03-31,103
2018-04-30,102.4
2018-05-31,101.8
2018-06-30,102.2
2018-07-31,106.1
2018-08-31,103.6
2018-09-30,100.5
2018-10-31,101.5
2018-11-30,104.3
2018-12-31,104.4
2019-01-31,99.6
2019-02-28,103.8
2019-03-31,98.8
2019-04-30,100.7
2019-05-31,101.3
2019-06-30,100.7
2019-07-31,96.5
2019-08-31,100
2019-09-30,98.2
2019-10-31,92.8
2019-11-30,97
2019-12-31,95.1
2020-01-31,93.4
2020-02-29,95.5
2020-03-31,91.9
2020-04-30,75.6
2020-05-31,88.1
2020-06-30,93.7
2020-07-31,87.9
2020-08-31,79.5
2020-09-30,93.8
2020-10-31,105
2020-11-30,107.7
2020-12-31,112
2021-01-31,107
2021-02-28,109.1
2021-03-31,111.8
2021-04-30,118.8
2021-05-31,113.1
2021-06-30,107.2
2021-07-31,108.8
2021-08-31,104.1
2021-09-30,106.2
2021-10-31,104.6
2021-11-30,105.3
2021-12-31,104.3
2022-01-31,102.2
2022-02-28,100.8
2022-03-31,96.6
2022-04-30,95.7
2022-05-31,90.4
2022-06-30,86.4
2022-07-31,83.8
2022-08-31,81.2
2022-09-30,84.4
2022-10-31,83.7
2022-11-30,78
2022-12-31,80
2023-01-31,84.3
2023-02-28,78.5
2023-03-31,78.5
2023-04-30,85.8
2023-05-31,79
2023-06-30,79.2
2023-07-31,81.3
2023-08-31,81
2023-09-30,79.7
2023-10-31,82
2023-11-30,79.9
2023-12-31,82.1
2024-01-31,81
2024-02-29,86
2024-03-31,84.4
2024-04-30,82.4
2024-05-31,82.2
2024-06-30,83.6
2024-07-31,82.7
2024-08-31,85
2024-09-30,84.6
2024-10-31,89.8
2024-11-30,94.6
2024-12-31,92.8
2025-01-31,92.1
2025-02-28,92.2
2025-03-31,95.9
2025-04-30,90.1
2025-05-31,92.1
2025-06-30,92.6
2025-07-31,93.1
2025-08-31,98.5
2025-09-30,95.4
2025-10-31,92.1
2025-11-30,103.8
2025-12-31,94.5
2026-01-31,92.9
2026-02-28,90.5
2026-03-31,91.6
2026-04-30,80.1
2026-05-31,83
2026-06-30,80.6
2026-07-31,83.9
